"","DBN","school_name","year","tot_enrollment","num_female","num_male","Number_Asian","Number_Black","Number_Hispanic","Number_Categories_Unrepresented","Number_White","Num_Students_With_Disabilities","Num_English_Lang_Learners","Num_LowIncome","Borough","grades","gym_square_footage","gym_room_function","shared","location","has_other_purpose","number_gyms","prop_female","econ_as_num","UnderrepresentedProportion","Prop_LowIncome"
"2706","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",5504,"SWIMMING POOL","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2707","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",100000,"ATHLETIC FIELD","N","Outside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2708","13K439","Brooklyn International High School","2016-17",361,169,192,101,73,134,0,53,15,289,169,"Brooklyn","High school",4554,"GYM","Y","Inside","N",6,0.46814404432133,91.2,0.573407202216066,0.46814404432133
"2709","13K439","Brooklyn International High School","2016-17",361,169,192,101,73,134,0,53,15,289,169,"Brooklyn","High school",1127,"DANCE ROOM","Y","Inside","N",6,0.46814404432133,91.2,0.573407202216066,0.46814404432133
"2710","13K439","Brooklyn International High School","2016-17",361,169,192,101,73,134,0,53,15,289,169,"Brooklyn","High school",925,"MULTI-PURPOSE ROOM","Y","Inside","Y",6,0.46814404432133,91.2,0.573407202216066,0.46814404432133
"2711","13K439","Brooklyn International High School","2016-17",361,169,192,101,73,134,0,53,15,289,169,"Brooklyn","High school",690,"MULTI-PURPOSE ROOM","Y","Inside","Y",6,0.46814404432133,91.2,0.573407202216066,0.46814404432133
"2712","13K439","Brooklyn International High School","2016-17",361,169,192,101,73,134,0,53,15,289,169,"Brooklyn","High school",315,"AUXILIARY EXERCISE ROOM","Y","Inside","N",6,0.46814404432133,91.2,0.573407202216066,0.46814404432133
"2713","13K439","Brooklyn International High School","2016-17",361,169,192,101,73,134,0,53,15,289,169,"Brooklyn","High school",2806,"GYM","Y","Inside","N",6,0.46814404432133,91.2,0.573407202216066,0.46814404432133
"2714","13K483","The Urban Assembly School for Law and Justice","2016-17",460,238,222,12,313,111,17,7,76,8,354,"Brooklyn","High school",420,"MULTI-PURPOSE ROOM","Y","Inside","Y",4,0.517391304347826,56.6,0.958695652173913,0.769565217391304
"2715","13K483","The Urban Assembly School for Law and Justice","2016-17",460,238,222,12,313,111,17,7,76,8,354,"Brooklyn","High school",920,"DANCE ROOM","Y","Inside","N",4,0.517391304347826,56.6,0.958695652173913,0.769565217391304
"2716","13K483","The Urban Assembly School for Law and Justice","2016-17",460,238,222,12,313,111,17,7,76,8,354,"Brooklyn","High school",945,"DANCE ROOM","Y","Inside","N",4,0.517391304347826,56.6,0.958695652173913,0.769565217391304
"2717","13K483","The Urban Assembly School for Law and Justice","2016-17",460,238,222,12,313,111,17,7,76,8,354,"Brooklyn","High school",7700,"GYM","Y","Inside","Y",4,0.517391304347826,56.6,0.958695652173913,0.769565217391304
"2718","13K492","Academy of Arts and Letters","2016-17",517,273,244,37,191,81,33,175,111,4,139,"Brooklyn","K-8",3876,"GYM","Y","Inside","N",2,0.528046421663443,31.1,0.589941972920696,0.268858800773694
"2719","13K492","Academy of Arts and Letters","2016-17",517,273,244,37,191,81,33,175,111,4,139,"Brooklyn","K-8",15519,"OUTDOOR YARD","Y","Outside","N",2,0.528046421663443,31.1,0.589941972920696,0.268858800773694
"2720","13K499","ACORN Community High School","2016-17",262,117,145,5,208,39,3,7,79,13,209,"Brooklyn","High school",1488,"DANCE ROOM","N","Inside","N",3,0.446564885496183,72,0.954198473282443,0.797709923664122
"2721","13K499","ACORN Community High School","2016-17",262,117,145,5,208,39,3,7,79,13,209,"Brooklyn","High school",3456,"GYM","N","Inside","N",3,0.446564885496183,72,0.954198473282443,0.797709923664122
"2722","13K499","ACORN Community High School","2016-17",262,117,145,5,208,39,3,7,79,13,209,"Brooklyn","High school",1512,"MULTI-PURPOSE ROOM","N","Inside","Y",3,0.446564885496183,72,0.954198473282443,0.797709923664122
"2723","13K527","Urban Assembly Institute of Math and Science for Y","2016-17",487,487,0,30,351,57,5,44,88,35,401,"Brooklyn","Secondary School",420,"MULTI-PURPOSE ROOM","Y","Inside","Y",4,1,67.6,0.848049281314168,0.82340862422998
"2724","13K527","Urban Assembly Institute of Math and Science for Y","2016-17",487,487,0,30,351,57,5,44,88,35,401,"Brooklyn","Secondary School",920,"DANCE ROOM","Y","Inside","N",4,1,67.6,0.848049281314168,0.82340862422998
"2725","13K527","Urban Assembly Institute of Math and Science for Y","2016-17",487,487,0,30,351,57,5,44,88,35,401,"Brooklyn","Secondary School",945,"DANCE ROOM","Y","Inside","N",4,1,67.6,0.848049281314168,0.82340862422998
"2726","13K527","Urban Assembly Institute of Math and Science for Y","2016-17",487,487,0,30,351,57,5,44,88,35,401,"Brooklyn","Secondary School",7700,"GYM","Y","Inside","Y",4,1,67.6,0.848049281314168,0.82340862422998
"2727","13K553","Brooklyn Academy High School","2016-17",135,74,61,0,99,27,8,1,37,0,117,"Brooklyn","High school",638,"WEIGHT ROOM","Y","Inside","N",5,0.548148148148148,69.5,0.992592592592593,0.866666666666667
"2728","13K553","Brooklyn Academy High School","2016-17",135,74,61,0,99,27,8,1,37,0,117,"Brooklyn","High school",1672,"MULTI-PURPOSE ROOM","Y","Inside","Y",5,0.548148148148148,69.5,0.992592592592593,0.866666666666667
"2729","13K553","Brooklyn Academy High School","2016-17",135,74,61,0,99,27,8,1,37,0,117,"Brooklyn","High school",320,"AUXILIARY EXERCISE ROOM","Y","Inside","N",5,0.548148148148148,69.5,0.992592592592593,0.866666666666667
"2730","13K553","Brooklyn Academy High School","2016-17",135,74,61,0,99,27,8,1,37,0,117,"Brooklyn","High school",380,"WEIGHT ROOM","Y","Inside","N",5,0.548148148148148,69.5,0.992592592592593,0.866666666666667
"2731","13K553","Brooklyn Academy High School","2016-17",135,74,61,0,99,27,8,1,37,0,117,"Brooklyn","High school",9116,"GYM","Y","Inside","N",5,0.548148148148148,69.5,0.992592592592593,0.866666666666667
"2732","13K575","Bedford Stuyvesant Preparatory High School","2016-17",122,63,59,0,100,19,2,1,8,4,94,"Brooklyn","High school",638,"WEIGHT ROOM","Y","Inside","N",5,0.516393442622951,70.4,0.991803278688525,0.770491803278688
"2733","13K575","Bedford Stuyvesant Preparatory High School","2016-17",122,63,59,0,100,19,2,1,8,4,94,"Brooklyn","High school",1672,"MULTI-PURPOSE ROOM","Y","Inside","Y",5,0.516393442622951,70.4,0.991803278688525,0.770491803278688
"2734","13K575","Bedford Stuyvesant Preparatory High School","2016-17",122,63,59,0,100,19,2,1,8,4,94,"Brooklyn","High school",320,"AUXILIARY EXERCISE ROOM","Y","Inside","N",5,0.516393442622951,70.4,0.991803278688525,0.770491803278688
"2735","13K575","Bedford Stuyvesant Preparatory High School","2016-17",122,63,59,0,100,19,2,1,8,4,94,"Brooklyn","High school",380,"WEIGHT ROOM","Y","Inside","N",5,0.516393442622951,70.4,0.991803278688525,0.770491803278688
"2736","13K575","Bedford Stuyvesant Preparatory High School","2016-17",122,63,59,0,100,19,2,1,8,4,94,"Brooklyn","High school",9116,"GYM","Y","Inside","N",5,0.516393442622951,70.4,0.991803278688525,0.770491803278688
"2737","13K605","George Westinghouse Career and Technical Education","2016-17",690,183,507,29,489,145,12,15,142,14,536,"Brooklyn","High school",1550,"WEIGHT ROOM","Y","Inside","N",3,0.265217391304348,66.2,0.936231884057971,0.776811594202899
"2738","13K605","George Westinghouse Career and Technical Education","2016-17",690,183,507,29,489,145,12,15,142,14,536,"Brooklyn","High school",8000,"GYM","Y","Inside","N",3,0.265217391304348,66.2,0.936231884057971,0.776811594202899
"2739","13K605","George Westinghouse Career and Technical Education","2016-17",690,183,507,29,489,145,12,15,142,14,536,"Brooklyn","High school",1210,"MULTI-PURPOSE ROOM","Y","Inside","Y",3,0.265217391304348,66.2,0.936231884057971,0.776811594202899
