Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Bldg ID,Bldg Name,Ownership,Room Number,Square Feet,Room Function,Shared with other schools?,Inside v outside,Space used for any other purpose beside PE,Location 1
Queens,27,27,27Q260,Frederick Douglass Academy VI High School,High school,Q465,FAR ROCKAWAY HS - Q,DOE Owned,GYM1,"5,568",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q260,Frederick Douglass Academy VI High School,High school,Q465,FAR ROCKAWAY HS - Q,DOE Owned,GYM2,"5,742",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q260,Frederick Douglass Academy VI High School,High school,Q466,FAR ROCKAWAY AF - QUEENS,DOE Owned,ATHLETIC FIELD,"115,000",ATHLETIC FIELD,Y,Outside,N,
Queens,27,27,27Q261,Voyages Prep - South Queens,High school,Q400,AUGUST MARTIN HS - QUEENS,DOE Owned,184,"1,988",WEIGHT ROOM,Y,Inside,N,
Queens,27,27,27Q261,Voyages Prep - South Queens,High school,Q400,AUGUST MARTIN HS - QUEENS,DOE Owned,B81,"1,160",MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q261,Voyages Prep - South Queens,High school,Q400,AUGUST MARTIN HS - QUEENS,DOE Owned,GYM A,"6,603",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q261,Voyages Prep - South Queens,High school,Q400,AUGUST MARTIN HS - QUEENS,DOE Owned,GYM B,"4,125",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q261,Voyages Prep - South Queens,High school,Q401,AUGUST MARTIN AF - QUEENS,DOE Owned,ATHLETIC FIELD,"325,000",ATHLETIC FIELD,Y,Outside,N,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,C151B,297,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,C343/5,"1,560",MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,E192/6,"1,917",DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,E209/11,"1,539",DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,G11,729,MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,G25,"1,632",SWIMMING POOL,Y,Inside,N,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-A,"5,265",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-B,"2,600",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-C,"2,600",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-D/E,"6,192",GYM/AUDITORIUM,Y,Inside,Y,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-F,"6,675",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-G,"3,600",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q262,Channel View School for Research,Secondary School,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,H,"3,375",WEIGHT ROOM,Y,Inside,N,
Queens,27,27,27Q273,P.S. 273,Elementary,Q273,P.S. 273 - QUEENS,DOE Owned,102,"1,333",MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,
Queens,27,27,27Q282,Knowledge and Power Preparatory Academy VI,Junior High-Intermediate-Middle,Q465,FAR ROCKAWAY HS - Q,DOE Owned,B2,"6,426",SWIMMING POOL,Y,Inside,N,
Queens,27,27,27Q282,Knowledge and Power Preparatory Academy VI,Junior High-Intermediate-Middle,Q465,FAR ROCKAWAY HS - Q,DOE Owned,GYM1,"5,568",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q282,Knowledge and Power Preparatory Academy VI,Junior High-Intermediate-Middle,Q465,FAR ROCKAWAY HS - Q,DOE Owned,GYM2,"5,742",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q282,Knowledge and Power Preparatory Academy VI,Junior High-Intermediate-Middle,Q466,FAR ROCKAWAY AF - QUEENS,DOE Owned,ATHLETIC FIELD,"115,000",ATHLETIC FIELD,Y,Outside,N,
Queens,27,27,27Q297,Hawtree Creek Middle School,Junior High-Intermediate-Middle,Q226,I.S. 226 - QUEENS,DOE Owned,222,"5,551",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q297,Hawtree Creek Middle School,Junior High-Intermediate-Middle,Q226,I.S. 226 - QUEENS,DOE Owned,231,"1,073",DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q297,Hawtree Creek Middle School,Junior High-Intermediate-Middle,Q226,I.S. 226 - QUEENS,DOE Owned,233,330,DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q297,Hawtree Creek Middle School,Junior High-Intermediate-Middle,Q226,I.S. 226 - QUEENS,DOE Owned,OUTDOOR YARD 1,"40,615",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q302,"Queens High School for Information, Research, and Technology",High school,Q465,FAR ROCKAWAY HS - Q,DOE Owned,B2,"6,426",SWIMMING POOL,Y,Inside,N,
Queens,27,27,27Q302,"Queens High School for Information, Research, and Technology",High school,Q465,FAR ROCKAWAY HS - Q,DOE Owned,GYM1,"5,568",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q302,"Queens High School for Information, Research, and Technology",High school,Q465,FAR ROCKAWAY HS - Q,DOE Owned,GYM2,"5,742",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q302,"Queens High School for Information, Research, and Technology",High school,Q466,FAR ROCKAWAY AF - QUEENS,DOE Owned,ATHLETIC FIELD,"115,000",ATHLETIC FIELD,Y,Outside,N,
Queens,27,27,27Q306,New York City Academy for Discovery,Elementary,Q262,P.S. 262 - QUEENS,DOE Owned,103,"1,430",MULTI-PURPOSE ROOM,N,Inside,Y,
Queens,27,27,27Q306,New York City Academy for Discovery,Elementary,Q262,P.S. 262 - QUEENS,DOE Owned,OUTDOOR YARD 1,"16,516",OUTDOOR YARD,N,Outside,N,
Queens,27,27,27Q308,Robert H. Goddard High School of Communication Arts and Technology,High school,Q202,I.S. 202 - QUEENS,DOE Owned,GYM,"6,468",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q308,Robert H. Goddard High School of Communication Arts and Technology,High school,Q202,I.S. 202 - QUEENS,DOE Owned,OUTDOOR YARD 1,"16,315",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q309,Academy of Medical Technology: A College Board School,Secondary School,Q465,FAR ROCKAWAY HS - Q,DOE Owned,B2,"6,426",SWIMMING POOL,Y,Inside,N,
